annee,rang,ville,specialite
2015,2115,Besançon,Cardiologie Et Maladies Vasculaires
2015,1636,Besançon,Dermatologie Et Vénéréologie
2015,5762,Besançon,Endocrinologie-diabétologie-nutrition
2015,4111,Besançon,Hépato-gastro-entérologie
2015,6018,Besançon,Génétique Médicale
2015,3679,Besançon,Hématologie
2015,4898,Besançon,Médecine Interne Et Immunologie Clinique
2015,3039,Besançon,Médecine Nucléaire
2015,6413,Besançon,Médecine Physique Et De Réadaptation
2015,4094,Besançon,Néphrologie
2015,4153,Besançon,Neurologie
2015,4134,Besançon,Oncologie
2015,4602,Besançon,Pneumologie
2015,2747,Besançon,Radiologie Et Imagerie Médicale
2015,3768,Besançon,Rhumatologie
2015,4685,Besançon,Chirurgie Générale
2015,4442,Besançon,Chirurgie Orale
2015,3656,Besançon,Neurochirurgie
2015,2156,Besançon,Ophtalmologie
2015,4002,Besançon,ORL
2015,8803,Dijon,Médecine Générale
2015,3667,Dijon,Anesthésie-réanimation
2015,8823,Dijon,Biologie Médicale
2015,4942,Dijon,Gynécologie Médicale
2015,4237,Dijon,Gynécologie Obstétrique
2015,8411,Dijon,Médecine Et Santé Au Travail
2015,4342,Dijon,Pédiatrie
2015,8781,Dijon,Psychiatrie
2015,8637,Dijon,Santé Publique
2015,4223,Dijon,Anatomie Et Cytologie Pathologique
2015,2548,Dijon,Cardiologie Et Maladies Vasculaires
2015,2735,Dijon,Dermatologie Et Vénéréologie
2015,5715,Dijon,Endocrinologie-diabétologie-nutrition
2015,3518,Dijon,Hépato-gastro-entérologie
2015,5465,Dijon,Génétique Médicale
2015,5380,Dijon,Hématologie
2015,3300,Dijon,Médecine Interne Et Immunologie Clinique
2015,2762,Dijon,Médecine Nucléaire
2015,6619,Dijon,Médecine Physique Et De Réadaptation
2015,2632,Dijon,Néphrologie
2015,2911,Dijon,Neurologie
2015,2555,Dijon,Oncologie
2015,4197,Dijon,Pneumologie
2015,2550,Dijon,Radiologie Et Imagerie Médicale
2015,3709,Dijon,Rhumatologie
2015,4244,Dijon,Chirurgie Générale
2015,4496,Dijon,Chirurgie Orale
2015,4049,Dijon,Neurochirurgie
2015,2248,Dijon,Ophtalmologie
2015,3931,Dijon,ORL
2015,8877,Reims,Médecine Générale
2015,4259,Reims,Anesthésie-réanimation
2015,8561,Reims,Biologie Médicale
2015,3959,Reims,Gynécologie Médicale
2015,4670,Reims,Gynécologie Obstétrique
2015,8878,Reims,Médecine Et Santé Au Travail
2015,5102,Reims,Pédiatrie
2015,8874,Reims,Psychiatrie
2015,8601,Reims,Santé Publique
2015,4738,Reims,Anatomie Et Cytologie Pathologique
2015,3366,Reims,Cardiologie Et Maladies Vasculaires
2015,2500,Reims,Dermatologie Et Vénéréologie
2015,5067,Reims,Endocrinologie-diabétologie-nutrition
2015,3377,Reims,Hépato-gastro-entérologie
2015,5903,Reims,Génétique Médicale
2015,4605,Reims,Hématologie
2015,4297,Reims,Médecine Interne Et Immunologie Clinique
2015,3457,Reims,Médecine Nucléaire
2015,6161,Reims,Médecine Physique Et De Réadaptation
2015,2754,Reims,Néphrologie
2015,4681,Reims,Neurologie
2015,3934,Reims,Oncologie
2015,4548,Reims,Pneumologie
2015,2870,Reims,Radiologie Et Imagerie Médicale
2015,3433,Reims,Rhumatologie
2015,4700,Reims,Chirurgie Générale
2015,2111,Reims,Ophtalmologie
2015,2741,Reims,ORL
2015,8811,Caen,Médecine Générale
2015,4239,Caen,Anesthésie-réanimation
2015,5488,Caen,Biologie Médicale
2015,3936,Caen,Gynécologie Médicale
2015,4532,Caen,Gynécologie Obstétrique
2015,4041,Caen,Médecine Et Santé Au Travail
2015,5074,Caen,Pédiatrie
2015,8807,Caen,Psychiatrie
2015,0,Caen,Santé Publique
2015,4965,Caen,Anatomie Et Cytologie Pathologique
2015,3078,Caen,Cardiologie Et Maladies Vasculaires
2015,2633,Caen,Dermatologie Et Vénéréologie
2015,4867,Caen,Endocrinologie-diabétologie-nutrition
2015,3368,Caen,Hépato-gastro-entérologie
2015,5811,Caen,Génétique Médicale
2015,512,Caen,Hématologie
2015,4798,Caen,Médecine Interne Et Immunologie Clinique
2015,3500,Caen,Médecine Nucléaire
2015,6554,Caen,Médecine Physique Et De Réadaptation
2015,2994,Caen,Néphrologie
2015,4158,Caen,Neurologie
2015,2765,Caen,Oncologie
2015,4459,Caen,Pneumologie
2015,3053,Caen,Radiologie Et Imagerie Médicale
2015,3690,Caen,Rhumatologie
2015,4661,Caen,Chirurgie Générale
2015,3304,Caen,Chirurgie Orale
2015,3264,Caen,Neurochirurgie
2015,2101,Caen,Ophtalmologie
2015,2767,Caen,ORL
2015,8833,Rouen,Médecine Générale
2015,3650,Rouen,Anesthésie-réanimation
2015,8842,Rouen,Biologie Médicale
2015,4208,Rouen,Gynécologie Médicale
2015,3879,Rouen,Gynécologie Obstétrique
2015,6785,Rouen,Médecine Et Santé Au Travail
2015,4776,Rouen,Pédiatrie
2015,8707,Rouen,Psychiatrie
2015,8762,Rouen,Santé Publique
2015,4274,Rouen,Anatomie Et Cytologie Pathologique
2015,2526,Rouen,Cardiologie Et Maladies Vasculaires
2015,2085,Rouen,Dermatologie Et Vénéréologie
2015,5253,Rouen,Endocrinologie-diabétologie-nutrition
2015,2842,Rouen,Hépato-gastro-entérologie
2015,4569,Rouen,Génétique Médicale
2015,4187,Rouen,Hématologie
2015,3526,Rouen,Médecine Interne Et Immunologie Clinique
2015,3327,Rouen,Médecine Nucléaire
2015,6349,Rouen,Médecine Physique Et De Réadaptation
2015,1593,Rouen,Néphrologie
2015,3743,Rouen,Neurologie
2015,2681,Rouen,Oncologie
2015,3727,Rouen,Pneumologie
2015,2373,Rouen,Radiologie Et Imagerie Médicale
2015,3284,Rouen,Rhumatologie
2015,4688,Rouen,Chirurgie Générale
2015,4406,Rouen,Chirurgie Orale
2015,1541,Rouen,Ophtalmologie
2015,3148,Rouen,ORL
2015,8560,Lille,Médecine Générale
2015,3212,Lille,Anesthésie-réanimation
2015,8770,Lille,Biologie Médicale
2015,3211,Lille,Gynécologie Médicale
2015,3448,Lille,Gynécologie Obstétrique
2015,8798,Lille,Médecine Et Santé Au Travail
2015,3954,Lille,Pédiatrie
2015,8169,Lille,Psychiatrie
2015,8583,Lille,Santé Publique
2015,4057,Lille,Anatomie Et Cytologie Pathologique
2015,1573,Lille,Cardiologie Et Maladies Vasculaires
2015,2470,Lille,Dermatologie Et Vénéréologie
2015,4693,Lille,Endocrinologie-diabétologie-nutrition
2015,1949,Lille,Hépato-gastro-entérologie
2015,3254,Lille,Génétique Médicale
2015,1712,Lille,Hématologie
2015,1579,Lille,Médecine Interne Et Immunologie Clinique
2015,2473,Lille,Médecine Nucléaire
2015,4775,Lille,Médecine Physique Et De Réadaptation
2015,1719,Lille,Néphrologie
2015,2641,Lille,Neurologie
2015,3057,Lille,Oncologie
2015,1795,Lille,Pneumologie
2015,1857,Lille,Radiologie Et Imagerie Médicale
2015,3646,Lille,Rhumatologie
2015,4038,Lille,Chirurgie Générale
2015,2602,Lille,Neurochirurgie
2015,1521,Lille,Ophtalmologie
2015,2495,Lille,ORL
2015,8698,Amiens,Médecine Générale
2015,4380,Amiens,Anesthésie-réanimation
2015,7412,Amiens,Biologie Médicale
2015,2572,Amiens,Gynécologie Médicale
2015,4435,Amiens,Gynécologie Obstétrique
2015,0,Amiens,Médecine Et Santé Au Travail
2015,4913,Amiens,Pédiatrie
2015,8777,Amiens,Psychiatrie
2015,0,Amiens,Santé Publique
2015,3814,Amiens,Anatomie Et Cytologie Pathologique
2015,3174,Amiens,Cardiologie Et Maladies Vasculaires
2015,3192,Amiens,Dermatologie Et Vénéréologie
2015,4899,Amiens,Endocrinologie-diabétologie-nutrition
2015,3586,Amiens,Hépato-gastro-entérologie
2015,3309,Amiens,Hématologie
2015,4221,Amiens,Médecine Interne Et Immunologie Clinique
2015,5928,Amiens,Médecine Physique Et De Réadaptation
2015,2748,Amiens,Néphrologie
2015,4390,Amiens,Neurologie
2015,3973,Amiens,Oncologie
2015,4465,Amiens,Pneumologie
2015,2760,Amiens,Radiologie Et Imagerie Médicale
2015,4397,Amiens,Rhumatologie
2015,4719,Amiens,Chirurgie Générale
2015,1914,Amiens,Ophtalmologie
2015,2661,Amiens,ORL
2015,8864,Clermont-Ferrand,Médecine Générale
2015,3847,Clermont-Ferrand,Anesthésie-réanimation
2015,7759,Clermont-Ferrand,Biologie Médicale
2015,3287,Clermont-Ferrand,Gynécologie Médicale
2015,4293,Clermont-Ferrand,Gynécologie Obstétrique
2015,7485,Clermont-Ferrand,Médecine Et Santé Au Travail
2015,5494,Clermont-Ferrand,Pédiatrie
2015,8852,Clermont-Ferrand,Psychiatrie
2015,8824,Clermont-Ferrand,Santé Publique
2015,2281,Clermont-Ferrand,Anatomie Et Cytologie Pathologique
2015,2704,Clermont-Ferrand,Cardiologie Et Maladies Vasculaires
2015,2201,Clermont-Ferrand,Dermatologie Et Vénéréologie
2015,5675,Clermont-Ferrand,Endocrinologie-diabétologie-nutrition
2015,3734,Clermont-Ferrand,Hépato-gastro-entérologie
2015,5610,Clermont-Ferrand,Génétique Médicale
2015,3902,Clermont-Ferrand,Hématologie
2015,2589,Clermont-Ferrand,Médecine Interne Et Immunologie Clinique
2015,3024,Clermont-Ferrand,Médecine Nucléaire
2015,6061,Clermont-Ferrand,Médecine Physique Et De Réadaptation
2015,1131,Clermont-Ferrand,Néphrologie
2015,4151,Clermont-Ferrand,Neurologie
2015,3693,Clermont-Ferrand,Oncologie
2015,4527,Clermont-Ferrand,Pneumologie
2015,2258,Clermont-Ferrand,Radiologie Et Imagerie Médicale
2015,3480,Clermont-Ferrand,Rhumatologie
2015,4616,Clermont-Ferrand,Chirurgie Générale
2015,2330,Clermont-Ferrand,Ophtalmologie
2015,3863,Clermont-Ferrand,ORL
2015,7687,Grenoble,Médecine Générale
2015,1488,Grenoble,Anesthésie-réanimation
2015,8871,Grenoble,Biologie Médicale
2015,3878,Grenoble,Gynécologie Médicale
2015,3379,Grenoble,Gynécologie Obstétrique
2015,8587,Grenoble,Médecine Et Santé Au Travail
2015,3282,Grenoble,Pédiatrie
2015,8032,Grenoble,Psychiatrie
2015,8018,Grenoble,Santé Publique
2015,3992,Grenoble,Anatomie Et Cytologie Pathologique
2015,2026,Grenoble,Cardiologie Et Maladies Vasculaires
2015,1434,Grenoble,Dermatologie Et Vénéréologie
2015,5358,Grenoble,Endocrinologie-diabétologie-nutrition
2015,2997,Grenoble,Hépato-gastro-entérologie
2015,531,Grenoble,Génétique Médicale
2015,2863,Grenoble,Hématologie
2015,1635,Grenoble,Médecine Interne Et Immunologie Clinique
2015,2144,Grenoble,Médecine Nucléaire
2015,4819,Grenoble,Médecine Physique Et De Réadaptation
2015,2194,Grenoble,Néphrologie
2015,2605,Grenoble,Neurologie
2015,3437,Grenoble,Oncologie
2015,2430,Grenoble,Pneumologie
2015,1780,Grenoble,Radiologie Et Imagerie Médicale
2015,1100,Grenoble,Rhumatologie
2015,3918,Grenoble,Chirurgie Générale
2015,1732,Grenoble,Neurochirurgie
2015,1701,Grenoble,Ophtalmologie
2015,2136,Grenoble,ORL
2015,7856,Lyon,Médecine Générale
2015,1430,Lyon,Anesthésie-réanimation
2015,8393,Lyon,Biologie Médicale
2015,2773,Lyon,Gynécologie Médicale
2015,2477,Lyon,Gynécologie Obstétrique
2015,8653,Lyon,Médecine Et Santé Au Travail
2015,2292,Lyon,Pédiatrie
2015,6618,Lyon,Psychiatrie
2015,8113,Lyon,Santé Publique
2015,1572,Lyon,Anatomie Et Cytologie Pathologique
2015,717,Lyon,Cardiologie Et Maladies Vasculaires
2015,253,Lyon,Dermatologie Et Vénéréologie
2015,4393,Lyon,Endocrinologie-diabétologie-nutrition
2015,806,Lyon,Hépato-gastro-entérologie
2015,1157,Lyon,Génétique Médicale
2015,1493,Lyon,Hématologie
2015,509,Lyon,Médecine Interne Et Immunologie Clinique
2015,612,Lyon,Médecine Nucléaire
2015,4974,Lyon,Médecine Physique Et De Réadaptation
2015,330,Lyon,Néphrologie
2015,1643,Lyon,Neurologie
2015,1729,Lyon,Oncologie
2015,1344,Lyon,Pneumologie
2015,1296,Lyon,Radiologie Et Imagerie Médicale
2015,2333,Lyon,Rhumatologie
2015,3739,Lyon,Chirurgie Générale
2015,3742,Lyon,Chirurgie Orale
2015,1463,Lyon,Neurochirurgie
2015,840,Lyon,Ophtalmologie
2015,1174,Lyon,ORL
2015,8579,Saint Etienne,Médecine Générale
2015,3802,Saint Etienne,Anesthésie-réanimation
2015,8591,Saint Etienne,Biologie Médicale
2015,4436,Saint Etienne,Gynécologie Obstétrique
2015,0,Saint Etienne,Médecine Et Santé Au Travail
2015,3771,Saint Etienne,Pédiatrie
2015,8412,Saint Etienne,Psychiatrie
2015,5175,Saint Etienne,Santé Publique
2015,2819,Saint Etienne,Anatomie Et Cytologie Pathologique
2015,1641,Saint Etienne,Cardiologie Et Maladies Vasculaires
2015,74,Saint Etienne,Dermatologie Et Vénéréologie
2015,5679,Saint Etienne,Endocrinologie-diabétologie-nutrition
2015,3409,Saint Etienne,Hépato-gastro-entérologie
2015,4370,Saint Etienne,Hématologie
2015,4123,Saint Etienne,Médecine Interne Et Immunologie Clinique
2015,3229,Saint Etienne,Médecine Nucléaire
2015,5411,Saint Etienne,Médecine Physique Et De Réadaptation
2015,1653,Saint Etienne,Néphrologie
2015,3210,Saint Etienne,Neurologie
2015,2012,Saint Etienne,Oncologie
2015,4460,Saint Etienne,Pneumologie
2015,2313,Saint Etienne,Radiologie Et Imagerie Médicale
2015,3993,Saint Etienne,Rhumatologie
2015,4713,Saint Etienne,Chirurgie Générale
2015,3574,Saint Etienne,Neurochirurgie
2015,1799,Saint Etienne,Ophtalmologie
2015,3168,Saint Etienne,ORL
2015,8306,Brest,Médecine Générale
2015,4228,Brest,Anesthésie-réanimation
2015,6057,Brest,Biologie Médicale
2015,4805,Brest,Gynécologie Médicale
2015,4744,Brest,Gynécologie Obstétrique
2015,8725,Brest,Médecine Et Santé Au Travail
2015,5228,Brest,Pédiatrie
2015,8473,Brest,Psychiatrie
2015,0,Brest,Santé Publique
2015,4374,Brest,Anatomie Et Cytologie Pathologique
2015,3473,Brest,Cardiologie Et Maladies Vasculaires
2015,3276,Brest,Dermatologie Et Vénéréologie
2015,1125,Brest,Endocrinologie-diabétologie-nutrition
2015,2787,Brest,Hépato-gastro-entérologie
2015,6385,Brest,Génétique Médicale
2015,4582,Brest,Médecine Interne Et Immunologie Clinique
2015,3666,Brest,Médecine Nucléaire
2015,5235,Brest,Médecine Physique Et De Réadaptation
2015,4050,Brest,Néphrologie
2015,3632,Brest,Neurologie
2015,3964,Brest,Oncologie
2015,828,Brest,Pneumologie
2015,3077,Brest,Radiologie Et Imagerie Médicale
2015,3320,Brest,Rhumatologie
2015,4766,Brest,Chirurgie Générale
2015,2143,Brest,Ophtalmologie
2015,3019,Brest,ORL
2015,6403,Rennes,Médecine Générale
2015,2335,Rennes,Anesthésie-réanimation
2015,8229,Rennes,Biologie Médicale
2015,3213,Rennes,Gynécologie Médicale
2015,3408,Rennes,Gynécologie Obstétrique
2015,8640,Rennes,Médecine Et Santé Au Travail
2015,4130,Rennes,Pédiatrie
2015,7003,Rennes,Psychiatrie
2015,8357,Rennes,Santé Publique
2015,3464,Rennes,Anatomie Et Cytologie Pathologique
2015,1236,Rennes,Cardiologie Et Maladies Vasculaires
2015,2132,Rennes,Dermatologie Et Vénéréologie
2015,4308,Rennes,Endocrinologie-diabétologie-nutrition
2015,1559,Rennes,Hépato-gastro-entérologie
2015,5276,Rennes,Génétique Médicale
2015,2325,Rennes,Hématologie
2015,1677,Rennes,Médecine Interne Et Immunologie Clinique
2015,3207,Rennes,Médecine Nucléaire
2015,5982,Rennes,Médecine Physique Et De Réadaptation
2015,995,Rennes,Néphrologie
2015,2790,Rennes,Neurologie
2015,3387,Rennes,Oncologie
2015,1467,Rennes,Pneumologie
2015,2047,Rennes,Radiologie Et Imagerie Médicale
2015,2212,Rennes,Rhumatologie
2015,4494,Rennes,Chirurgie Générale
2015,1008,Rennes,Neurochirurgie
2015,859,Rennes,Ophtalmologie
2015,1319,Rennes,ORL
2015,7639,Angers,Médecine Générale
2015,3417,Angers,Anesthésie-réanimation
2015,7890,Angers,Biologie Médicale
2015,2828,Angers,Gynécologie Médicale
2015,4104,Angers,Gynécologie Obstétrique
2015,7804,Angers,Médecine Et Santé Au Travail
2015,4855,Angers,Pédiatrie
2015,8470,Angers,Psychiatrie
2015,6909,Angers,Santé Publique
2015,4508,Angers,Anatomie Et Cytologie Pathologique
2015,2581,Angers,Cardiologie Et Maladies Vasculaires
2015,1034,Angers,Dermatologie Et Vénéréologie
2015,4979,Angers,Endocrinologie-diabétologie-nutrition
2015,2421,Angers,Hépato-gastro-entérologie
2015,5686,Angers,Génétique Médicale
2015,5070,Angers,Hématologie
2015,4753,Angers,Médecine Interne Et Immunologie Clinique
2015,3425,Angers,Médecine Nucléaire
2015,6020,Angers,Médecine Physique Et De Réadaptation
2015,1337,Angers,Néphrologie
2015,3269,Angers,Neurologie
2015,3101,Angers,Oncologie
2015,3068,Angers,Pneumologie
2015,2455,Angers,Radiologie Et Imagerie Médicale
2015,2366,Angers,Rhumatologie
2015,4504,Angers,Chirurgie Générale
2015,1300,Angers,Ophtalmologie
2015,1311,Angers,ORL
2015,6726,Nantes,Médecine Générale
2015,2351,Nantes,Anesthésie-réanimation
2015,7703,Nantes,Biologie Médicale
2015,2364,Nantes,Gynécologie Médicale
2015,3180,Nantes,Gynécologie Obstétrique
2015,7842,Nantes,Médecine Et Santé Au Travail
2015,2023,Nantes,Pédiatrie
2015,7459,Nantes,Psychiatrie
2015,8042,Nantes,Santé Publique
2015,3557,Nantes,Anatomie Et Cytologie Pathologique
2015,818,Nantes,Cardiologie Et Maladies Vasculaires
2015,2080,Nantes,Dermatologie Et Vénéréologie
2015,975,Nantes,Endocrinologie-diabétologie-nutrition
2015,2197,Nantes,Hépato-gastro-entérologie
2015,5497,Nantes,Génétique Médicale
2015,2456,Nantes,Hématologie
2015,1088,Nantes,Médecine Interne Et Immunologie Clinique
2015,3177,Nantes,Médecine Nucléaire
2015,5427,Nantes,Médecine Physique Et De Réadaptation
2015,145,Nantes,Néphrologie
2015,2721,Nantes,Neurologie
2015,2263,Nantes,Oncologie
2015,1167,Nantes,Pneumologie
2015,1214,Nantes,Radiologie Et Imagerie Médicale
2015,1524,Nantes,Rhumatologie
2015,4362,Nantes,Chirurgie Générale
2015,3240,Nantes,Chirurgie Orale
2015,442,Nantes,Ophtalmologie
2015,1275,Nantes,ORL
2015,8875,Tours,Médecine Générale
2015,3758,Tours,Anesthésie-réanimation
2015,8089,Tours,Biologie Médicale
2015,3645,Tours,Gynécologie Médicale
2015,3965,Tours,Gynécologie Obstétrique
2015,4453,Tours,Pédiatrie
2015,8493,Tours,Psychiatrie
2015,0,Tours,Santé Publique
2015,4784,Tours,Anatomie Et Cytologie Pathologique
2015,1822,Tours,Cardiologie Et Maladies Vasculaires
2015,2252,Tours,Dermatologie Et Vénéréologie
2015,5468,Tours,Endocrinologie-diabétologie-nutrition
2015,2612,Tours,Hépato-gastro-entérologie
2015,3516,Tours,Hématologie
2015,2833,Tours,Médecine Interne Et Immunologie Clinique
2015,3381,Tours,Médecine Nucléaire
2015,4311,Tours,Médecine Physique Et De Réadaptation
2015,2546,Tours,Néphrologie
2015,3643,Tours,Neurologie
2015,3442,Tours,Oncologie
2015,3910,Tours,Pneumologie
2015,2626,Tours,Radiologie Et Imagerie Médicale
2015,3370,Tours,Rhumatologie
2015,4067,Tours,Chirurgie Générale
2015,1099,Tours,Ophtalmologie
2015,1852,Tours,ORL
2015,8417,Poitiers,Médecine Générale
2015,3689,Poitiers,Anesthésie-réanimation
2015,8128,Poitiers,Biologie Médicale
2015,4750,Poitiers,Gynécologie Obstétrique
2015,8034,Poitiers,Médecine Et Santé Au Travail
2015,5389,Poitiers,Pédiatrie
2015,8731,Poitiers,Psychiatrie
2015,0,Poitiers,Santé Publique
2015,4884,Poitiers,Anatomie Et Cytologie Pathologique
2015,3305,Poitiers,Cardiologie Et Maladies Vasculaires
2015,2070,Poitiers,Dermatologie Et Vénéréologie
2015,5449,Poitiers,Endocrinologie-diabétologie-nutrition
2015,2895,Poitiers,Hépato-gastro-entérologie
2015,4392,Poitiers,Génétique Médicale
2015,5149,Poitiers,Hématologie
2015,4752,Poitiers,Médecine Interne Et Immunologie Clinique
2015,2541,Poitiers,Médecine Nucléaire
2015,3035,Poitiers,Néphrologie
2015,3921,Poitiers,Neurologie
2015,3780,Poitiers,Oncologie
2015,4110,Poitiers,Pneumologie
2015,2752,Poitiers,Radiologie Et Imagerie Médicale
2015,3736,Poitiers,Rhumatologie
2015,4613,Poitiers,Chirurgie Générale
2015,972,Poitiers,Ophtalmologie
2015,2289,Poitiers,ORL
2015,7523,Montpellier,Médecine Générale
2015,2184,Montpellier,Anesthésie-réanimation
2015,6122,Montpellier,Biologie Médicale
2015,3552,Montpellier,Gynécologie Médicale
2015,2639,Montpellier,Gynécologie Obstétrique
2015,6756,Montpellier,Médecine Et Santé Au Travail
2015,3511,Montpellier,Pédiatrie
2015,8007,Montpellier,Psychiatrie
2015,8856,Montpellier,Santé Publique
2015,1865,Montpellier,Anatomie Et Cytologie Pathologique
2015,872,Montpellier,Cardiologie Et Maladies Vasculaires
2015,1044,Montpellier,Dermatologie Et Vénéréologie
2015,4860,Montpellier,Endocrinologie-diabétologie-nutrition
2015,786,Montpellier,Hépato-gastro-entérologie
2015,3946,Montpellier,Génétique Médicale
2015,2989,Montpellier,Hématologie
2015,1071,Montpellier,Médecine Interne Et Immunologie Clinique
2015,1980,Montpellier,Médecine Nucléaire
2015,5188,Montpellier,Médecine Physique Et De Réadaptation
2015,2148,Montpellier,Néphrologie
2015,964,Montpellier,Neurologie
2015,2594,Montpellier,Oncologie
2015,1999,Montpellier,Pneumologie
2015,991,Montpellier,Radiologie Et Imagerie Médicale
2015,1737,Montpellier,Rhumatologie
2015,4209,Montpellier,Chirurgie Générale
2015,4323,Montpellier,Chirurgie Orale
2015,756,Montpellier,Neurochirurgie
2015,681,Montpellier,Ophtalmologie
2015,1026,Montpellier,ORL
2015,8540,Marseille,Médecine Générale
2015,2394,Marseille,Anesthésie-réanimation
2015,8870,Marseille,Biologie Médicale
2015,2841,Marseille,Gynécologie Médicale
2015,2637,Marseille,Gynécologie Obstétrique
2015,8542,Marseille,Médecine Et Santé Au Travail
2015,3790,Marseille,Pédiatrie
2015,7657,Marseille,Psychiatrie
2015,8763,Marseille,Santé Publique
2015,3970,Marseille,Anatomie Et Cytologie Pathologique
2015,1168,Marseille,Cardiologie Et Maladies Vasculaires
2015,841,Marseille,Dermatologie Et Vénéréologie
2015,3292,Marseille,Endocrinologie-diabétologie-nutrition
2015,2232,Marseille,Hépato-gastro-entérologie
2015,5778,Marseille,Génétique Médicale
2015,2307,Marseille,Hématologie
2015,1923,Marseille,Médecine Interne Et Immunologie Clinique
2015,2996,Marseille,Médecine Nucléaire
2015,5332,Marseille,Médecine Physique Et De Réadaptation
2015,915,Marseille,Néphrologie
2015,3123,Marseille,Neurologie
2015,2557,Marseille,Oncologie
2015,2885,Marseille,Pneumologie
